sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,0,total_valid_votes,rejected_votes,total,tendered_votes
23,36,23,0,219,27,0,180,384,1,1,0,0,0,0,1,0,1,4,814,0,818,0
24,36,24,0,191,28,3,161,367,0,0,0,0,0,1,2,0,1,0,754,0,754,0
25,36,25,0,49,5,0,59,166,0,0,0,1,0,1,0,0,0,0,281,0,281,0
26,36,26,0,141,12,4,152,262,2,0,1,1,1,0,2,0,3,3,581,0,584,0
27,36,27,0,96,12,1,134,227,0,2,0,0,1,2,1,1,1,2,478,0,480,0
28,36,28,0,166,24,2,108,314,0,1,0,0,0,0,0,0,0,3,615,0,618,0
29,36,29,0,142,12,0,64,158,0,0,0,0,0,1,0,0,0,3,377,0,380,0
30,36,30,0,117,6,1,179,292,1,4,0,0,0,2,1,0,1,5,604,0,609,0
31,36,31,0,15,6,0,23,49,0,0,0,0,0,0,0,0,1,1,94,0,95,0
32,36,32,0,237,20,3,78,386,1,3,1,0,0,1,1,3,2,5,736,0,741,0
33,36,33,0,210,25,0,118,364,2,0,0,0,1,0,1,0,2,5,723,0,728,0
34,36,34,0,205,18,2,78,262,2,0,1,0,0,1,0,0,1,3,570,0,573,0
35,36,35,0,199,30,1,143,397,0,1,0,0,0,1,0,0,2,7,774,0,781,0
36,36,36,0,191,35,1,165,455,0,0,0,0,0,0,0,3,1,3,851,0,854,0
37,36,37,0,262,24,1,144,385,1,0,1,1,0,0,1,0,1,3,821,0,824,0
38,36,38,0,245,16,0,102,222,1,0,0,0,1,0,1,0,0,3,588,0,591,0
39,36,39,0,173,20,3,341,182,0,0,0,0,0,0,0,1,0,4,720,0,724,0
40,36,40,0,153,27,0,151,398,2,2,1,2,2,0,3,2,1,8,744,0,752,0
41,36,41,0,218,41,0,151,341,2,1,2,0,0,4,2,1,0,5,763,0,768,0
42,36,42,0,115,13,0,93,270,1,1,0,1,0,0,1,1,0,3,496,0,499,0
43,36,43,0,152,23,1,104,291,0,0,0,1,0,1,0,2,1,6,576,0,582,0
44,36,44,0,163,15,4,196,256,2,1,2,0,0,0,2,1,0,3,642,0,645,0
45,36,45,0,82,10,1,200,62,0,1,0,0,0,0,0,2,0,2,358,0,360,0
46,36,46,0,97,13,1,472,132,2,0,0,0,0,3,4,0,0,0,724,0,724,0
47,36,47,0,241,33,3,233,419,0,2,1,0,0,0,0,1,3,3,936,0,939,0
48,36,48,0,202,26,0,191,236,0,2,0,1,0,3,2,2,0,4,665,0,669,0
49,36,49,0,127,13,2,99,183,0,0,0,0,0,1,1,1,0,1,427,0,428,0
50,36,50,0,175,22,1,189,236,1,3,0,1,0,0,0,1,0,2,629,0,631,0
51,36,51,0,120,17,0,163,195,0,1,0,0,1,0,1,0,0,2,498,0,500,0
52,36,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,36,52,0,247,20,0,184,350,1,3,0,0,1,0,0,1,1,3,808,0,811,0
53,36,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,36,53,0,159,15,0,142,207,1,3,0,1,0,3,0,1,1,0,533,0,533,0
54,36,54,0,164,7,0,123,260,0,1,0,0,0,0,0,0,0,1,555,0,556,0
