sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,0,total_valid_votes,rejected_votes,total,tendered_votes
195,106,195,0,16,168,146,4,200,7,0,0,2,0,2,1,3,0,1,2,0,5,2,557,0,559,0
196,106,196,0,18,110,89,4,179,11,0,0,1,0,0,0,1,0,0,0,0,1,2,414,0,416,0
197,106,197,0,35,172,183,6,266,18,0,1,0,1,1,1,0,2,3,2,1,3,2,695,0,697,0
198,106,198,0,17,177,220,1,235,12,0,0,0,1,1,2,2,1,1,3,0,2,3,675,0,678,0
199,106,199,0,28,160,215,1,243,2,0,0,2,1,0,2,1,2,0,0,0,2,8,659,0,667,0
200,106,200,0,9,102,265,1,186,0,0,0,0,0,0,1,1,2,2,0,1,3,0,573,0,573,0
201,106,201,0,12,170,216,5,171,0,0,0,0,0,0,1,0,1,1,2,0,4,7,583,0,590,0
202,106,202,0,22,140,139,0,140,32,0,0,0,0,0,1,2,3,0,0,0,2,0,481,0,481,0
203,106,203,0,13,181,183,1,208,5,0,1,0,0,0,3,0,3,5,0,0,1,5,604,0,609,0
204,106,204,0,16,134,141,2,186,4,1,1,0,1,1,1,0,2,4,0,0,1,1,495,0,496,0
205,106,205,0,19,109,226,1,173,13,1,0,0,1,0,0,0,0,3,2,0,2,2,550,0,552,0
206,106,206,0,18,121,275,4,268,1,2,1,1,1,1,2,2,0,3,0,1,1,4,702,0,706,0
207,106,207,0,53,189,223,3,238,2,0,1,0,0,0,1,1,0,2,0,1,0,0,714,0,714,0
208,106,208,0,32,213,199,1,216,1,0,0,0,0,1,1,1,1,2,0,0,3,4,671,0,675,0
208,106,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,106,209,0,27,207,371,7,325,1,0,0,1,0,0,1,2,3,2,2,1,1,2,951,0,953,0
209,106,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,106,210,0,40,251,197,2,361,2,1,2,1,0,2,4,2,1,8,6,1,1,4,882,0,886,0
211,106,211,0,25,165,188,2,192,23,0,0,0,2,0,0,0,0,1,1,0,4,1,603,0,604,0
212,106,212,0,21,127,143,1,248,1,0,0,0,0,0,3,1,0,4,3,0,0,0,552,0,552,0
213,106,213,0,23,173,139,1,156,85,0,0,0,0,1,1,4,1,1,2,1,1,3,589,0,592,0
214,106,214,0,10,127,102,2,126,9,0,1,1,0,0,1,0,0,0,1,0,3,1,383,0,384,0
215,106,215,0,26,243,217,3,253,7,0,0,1,1,0,0,0,5,1,2,0,1,3,760,0,763,0
216,106,216,0,20,282,200,9,438,14,1,0,0,0,0,5,0,1,4,1,0,1,3,976,0,979,0
217,106,217,0,16,215,130,3,185,1,0,0,0,0,1,0,0,0,2,3,0,3,0,559,0,559,0
218,106,218,0,26,122,275,2,178,0,0,0,0,0,1,0,1,2,0,1,0,1,1,609,0,610,0
219,106,219,0,25,194,125,6,441,4,0,0,1,0,1,3,0,0,1,3,1,5,4,810,0,814,0
220,106,220,0,71,386,213,1,374,2,1,1,0,0,1,2,0,2,2,2,1,4,3,1063,0,1066,0
221,106,221,0,46,330,131,0,408,1,0,0,0,0,0,1,0,2,1,1,0,0,6,921,0,927,0
222,106,222,0,51,203,132,0,407,4,0,0,1,1,1,0,3,0,1,6,1,1,4,812,0,816,0
223,106,223,0,20,215,165,0,287,1,0,1,0,0,0,1,1,3,2,1,0,3,1,700,0,701,0
224,106,224,0,43,241,178,1,412,1,1,0,0,0,0,0,0,14,1,4,0,3,5,899,0,904,0
225,106,225,0,42,238,222,4,299,0,0,0,0,0,0,2,0,0,0,1,0,1,3,809,0,812,0
