sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,0,total_valid_votes,rejected_votes,total,tendered_votes
97,150,97,0,84,1,11,0,1,74,1,0,4,194,2,1,0,0,1,0,1,0,0,0,375,0,375,0,0,0,0,0,97,0
98,150,98,0,94,1,14,1,2,113,2,3,15,513,1,5,0,0,0,5,2,0,0,0,771,0,771,0,0,0,0,0,98,0
99,150,99,0,60,0,4,1,0,47,2,0,6,249,1,2,0,0,1,3,0,0,1,0,377,0,377,0,0,0,0,0,99,0
99,150,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,150,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,150,100,0,150,2,21,0,4,116,2,0,1,231,1,5,0,0,0,3,3,1,1,0,541,0,541,0,0,0,0,0,100,0
101,150,101,0,163,0,10,1,2,145,2,0,2,247,3,2,0,0,1,2,1,0,1,2,584,0,584,0,0,0,0,0,101,0
101,150,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,150,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,150,102,0,120,2,12,0,3,146,4,1,4,434,4,5,0,1,1,2,2,2,0,1,744,0,744,0,0,0,0,0,102,0
