sl_no,ac_code,polling_station_no,total_electors,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,total_valid_votes,rejected_votes,total,tendered_votes
126,18,126,0,1,213,18,67,227,4,0,1,0,0,0,0,0,2,2,2,0,1,0,1,2,0,0,0,541,0,2,0
127,18,127,0,1,270,2,27,176,1,0,0,0,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,484,0,0,0
128,18,128,0,1,287,3,24,183,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,502,0,0,0
129,18,129,0,0,417,17,52,131,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,621,0,2,0
130,18,130,0,1,337,5,15,168,4,0,0,0,0,4,2,0,0,0,0,1,1,0,0,0,0,0,0,538,0,5,0
131,18,131,0,0,223,3,5,42,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,275,0,2,0
132,18,132,0,1,180,7,186,147,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,527,0,4,0
133,18,133,0,2,155,3,174,114,2,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,455,0,5,0
134,18,134,0,2,110,5,225,100,2,2,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,450,0,6,0
135,18,135,0,0,200,14,64,164,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,446,0,3,0
136,18,136,0,2,188,7,66,156,1,1,0,0,0,1,0,0,0,0,2,0,1,1,2,0,0,1,0,429,0,0,0
137,18,137,0,1,116,3,173,124,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,423,0,6,0
138,18,138,0,0,191,3,130,135,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,463,0,2,0
139,18,139,0,2,146,5,152,123,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,436,0,6,0
140,18,140,0,1,73,4,140,65,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,288,0,1,0
141,18,141,0,1,111,2,119,55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,291,0,5,0
142,18,142,0,2,186,3,157,97,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,451,0,8,0
143,18,143,0,2,64,3,155,79,1,0,1,0,0,2,1,1,0,0,1,0,0,0,0,2,0,0,0,312,0,4,0
144,18,144,0,1,81,1,133,63,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,282,0,4,0
145,18,145,0,4,96,6,201,118,0,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,433,0,12,0
146,18,146,0,0,132,6,40,95,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,278,0,6,0
147,18,147,0,3,182,10,12,85,3,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,299,0,0,0
148,18,148,0,0,198,8,40,105,0,0,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,357,0,1,0
149,18,149,0,1,162,2,214,102,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,484,0,8,0
150,18,150,0,2,363,6,34,401,5,0,1,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,818,0,0,0
151,18,151,0,0,347,13,43,421,5,0,0,0,0,2,1,1,0,1,1,1,2,1,0,0,0,0,0,839,0,1,0
152,18,152,0,0,497,12,58,306,2,1,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,0,0,882,0,0,0
153,18,153,0,0,284,4,23,258,2,0,1,1,0,1,0,1,0,0,2,0,1,0,0,3,0,0,0,581,0,1,0
154,18,154,0,3,103,2,127,63,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,304,0,3,0
155,18,155,0,2,87,4,125,98,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,318,0,3,0
156,18,156,0,0,103,0,111,52,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,270,0,1,0
157,18,157,0,1,141,5,126,115,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,393,0,8,0
158,18,158,0,0,98,4,67,63,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,235,0,1,0
159,18,159,0,1,139,0,180,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,425,0,10,0
160,18,160,0,1,120,2,180,107,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,413,0,4,0
161,18,161,0,1,136,2,134,112,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,387,0,6,0
162,18,162,0,1,174,4,153,114,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,449,0,3,0
163,18,163,0,1,165,1,202,135,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,507,0,4,0
164,18,164,0,2,175,15,50,219,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,1,0,469,0,0,0
165,18,165,0,1,168,14,40,145,1,0,0,0,0,2,0,0,0,0,0,0,2,0,1,2,0,0,0,376,0,0,0
166,18,166,0,1,161,7,96,97,2,0,0,0,0,0,0,1,0,0,1,1,3,0,1,2,0,0,0,373,0,3,0
167,18,167,0,0,153,6,26,164,2,1,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,358,0,0,0
168,18,168,0,2,219,9,115,194,3,2,1,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,551,0,4,0
169,18,169,0,3,119,2,92,124,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,344,0,5,0
170,18,170,0,2,92,4,106,83,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,292,0,2,0
171,18,171,0,0,101,7,195,162,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,471,0,4,0
172,18,172,0,2,127,9,150,147,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,437,0,2,0
173,18,173,0,2,71,1,112,90,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,2,0
174,18,174,0,1,73,0,187,59,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,323,0,8,0
175,18,175,0,3,120,3,58,72,2,0,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,264,0,1,0
176,18,176,0,2,91,1,97,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,239,0,4,0
177,18,177,0,0,277,7,44,230,1,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,566,0,1,0
178,18,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,18,178,0,0,211,8,158,244,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,626,0,3,0
179,18,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,18,179,0,2,123,3,146,87,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,368,0,1,0
